symbol;timeframe;open_time;open_price;high_price;low_price;close_price;volume;close_time;EMA;
BTCUSDT;1h;2017-11-21 05:00:00+00:00;787991000000;811999000000;786138000000;808602000000;29905540300;2017-11-21 05:59:59.999000+00:00;8106625323879120,000000000000000;
BTCUSDT;1h;2017-11-21 06:00:00+00:00;809879000000;816800000000;806002000000;807399000000;23051325400;2017-11-21 06:59:59.999000+00:00;8101604504820790,000000000000000;
BTCUSDT;1h;2017-11-21 07:00:00+00:00;807399000000;818499000000;806005000000;816555000000;24048475200;2017-11-21 07:59:59.999000+00:00;8111442273309900,000000000000000;
BTCUSDT;1h;2017-11-21 08:00:00+00:00;816538000000;823135000000;815508000000;821098000000;20606668500;2017-11-21 08:59:59.999000+00:00;8126755769723760,000000000000000;
BTCUSDT;1h;2017-11-21 09:00:00+00:00;821475000000;827005000000;816016000000;823880000000;20840611500;2017-11-21 09:59:59.999000+00:00;8143993343612410,000000000000000;
BTCUSDT;1h;2017-11-21 10:00:00+00:00;823881000000;825591000000;819025000000;821400000000;11885166600;2017-11-21 10:59:59.999000+00:00;8154763598441270,000000000000000;
BTCUSDT;1h;2017-11-21 11:00:00+00:00;821998000000;825903000000;819580000000;824106000000;16702214000;2017-11-21 11:59:59.999000+00:00;816803996791185,000000000000000;
BTCUSDT;1h;2017-11-21 12:00:00+00:00;825225000000;828993000000;822607000000;822652000000;18798905800;2017-11-21 12:59:59.999000+00:00;8177036895925410,000000000000000;
BTCUSDT;1h;2017-11-21 13:00:00+00:00;824927000000;826593000000;812500000000;822431000000;15808837000;2017-11-21 13:59:59.999000+00:00;8184309681167650,000000000000000;
BTCUSDT;1h;2017-11-21 14:00:00+00:00;822421000000;840000000000;821800000000;836300000000;16317341600;2017-11-21 14:59:59.999000+00:00;8211800499449550,000000000000000;
BTCUSDT;1h;2017-11-21 15:00:00+00:00;836975000000;839999000000;833351000000;837001000000;17388346600;2017-11-21 15:59:59.999000+00:00;8236140422611160,000000000000000;
BTCUSDT;1h;2017-11-21 16:00:00+00:00;838344000000;838498000000;825600000000;828789000000;15475465900;2017-11-21 16:59:59.999000+00:00;82441018960556,000000000000000;
BTCUSDT;1h;2017-11-21 17:00:00+00:00;828782000000;834513000000;827131000000;830005000000;18979825000;2017-11-21 17:59:59.999000+00:00;825270929666243,000000000000000;
BTCUSDT;1h;2017-11-21 18:00:00+00:00;830005000000;832199000000;825508000000;827060000000;12511712900;2017-11-21 18:59:59.999000+00:00;8255461712560510,000000000000000;
BTCUSDT;1h;2017-11-21 19:00:00+00:00;825602000000;829800000000;807000000000;810983000000;18392862200;2017-11-21 19:59:59.999000+00:00;8233056833705050,000000000000000;
BTCUSDT;1h;2017-11-21 20:00:00+00:00;810985000000;822018000000;810981000000;822018000000;5305697700;2017-11-21 20:59:59.999000+00:00;8231075782365810,000000000000000;
BTCUSDT;1h;2017-11-21 21:00:00+00:00;818029000000;824889000000;813518000000;815900000000;8552252200;2017-11-21 21:59:59.999000+00:00;8219987200463380,000000000000000;
